iter	Passed	Remaining
416	2942	11171
417	2949	11164
418	2956	11157
419	2963	11149
420	2970	11141
421	2977	11134
422	2984	11126
423	2991	11118
424	2998	11111
425	3005	11104
426	3012	11096
427	3019	11089
428	3026	11081
429	3033	11075
430	3040	11068
431	3047	11059
432	3053	11051
433	3061	11045
434	3068	11038
435	3075	11032
436	3082	11024
437	3089	11016
438	3096	11011
439	3103	11003
440	3110	10996
441	3117	10988
442	3123	10979
443	3131	10973
444	3138	10967
445	3145	10959
446	3152	10952
447	3159	10945
448	3166	10937
449	3173	10931
450	3180	10924
451	3187	10916
452	3194	10908
453	3200	10900
454	3207	10892
455	3215	10886
456	3222	10880
457	3229	10874
458	3236	10867
459	3243	10860
460	3251	10853
461	3257	10844
462	3264	10837
463	3274	10838
464	3280	10830
465	3288	10824
466	3295	10817
467	3302	10810
468	3309	10803
469	3316	10795
470	3322	10787
471	3330	10783
472	3337	10776
473	3345	10769
474	3352	10763
475	3359	10757
476	3366	10749
477	3373	10741
478	3380	10734
479	3387	10726
480	3394	10720
481	3401	10713
482	3408	10705
483	3415	10698
484	3422	10690
485	3430	10685
486	3437	10679
487	3444	10671
488	3451	10664
489	3458	10657
490	3465	10649
491	3472	10643
492	3479	10636
493	3486	10628
494	3493	10622
495	3500	10614
496	3508	10608
497	3515	10601
498	3522	10596
499	3529	10589
500	3536	10581
501	3543	10575
502	3550	10568
503	3557	10561
504	3565	10554
505	3572	10547
506	3579	10541
507	3586	10534
508	3593	10526
509	3600	10519
510	3607	10512
511	3615	10506
512	3622	10500
513	3629	10493
514	3636	10486
515	3644	10480
516	3651	10473
517	3658	10465
518	3664	10457
519	3672	10453
520	3680	10447
521	3687	10440
522	3694	10433
523	3701	10425
524	3708	10418
525	3715	10412
526	3723	10406
527	3729	10398
528	3737	10391
529	3744	10384
530	3750	10376
531	3757	10369
532	3764	10361
533	3772	10355
534	3779	10348
535	3786	10341
536	3792	10333
537	3800	10327
538	3807	10319
539	3814	10312
540	3820	10304
541	3828	10298
542	3835	10292
543	3842	10284
544	3849	10278
545	3857	10273
546	3864	10265
547	3871	10258
548	3878	10251
549	3885	10243
550	3892	10236
551	3899	10229
552	3906	10222
553	3913	10213
554	3920	10207
555	3927	10199
556	3934	10191
557	3941	10184
558	3948	10179
559	3955	10172
560	3962	10165
561	3969	10157
562	3976	10149
563	3983	10143
564	3990	10136
565	3998	10131
566	4005	10123
567	4011	10114
568	4018	10106
569	4025	10099
570	4032	10091
571	4039	10083
572	4047	10078
573	4054	10072
574	4061	10065
575	4067	10056
576	4074	10049
577	4081	10040
578	4087	10032
579	4094	10025
580	4102	10019
581	4109	10011
582	4116	10004
583	4122	9996
584	4130	9989
585	4136	9982
586	4143	9975
587	4150	9967
588	4157	9960
589	4164	9952
590	4171	9945
591	4179	9940
592	4186	9932
593	4193	9926
594	4200	9919
595	4207	9911
596	4213	9903
597	4221	9896
598	4228	9890
599	4235	9883
600	4243	9878
601	4251	9871
602	4257	9864
603	4264	9855
604	4270	9847
605	4277	9838
606	4283	9831
607	4290	9823
608	4297	9816
609	4305	9810
610	4312	9802
611	4318	9795
612	4325	9787
613	4331	9778
614	4338	9771
615	4345	9762
616	4351	9754
617	4358	9746
618	4365	9739
619	4372	9731
620	4378	9722
621	4385	9715
622	4391	9707
623	4398	9699
624	4405	9691
625	4412	9684
626	4418	9676
627	4426	9670
628	4432	9662
629	4439	9654
630	4446	9646
631	4453	9640
632	4460	9633
633	4467	9626
634	4475	9619
635	4481	9611
636	4488	9604
637	4495	9596
638	4501	9588
639	4508	9580
640	4515	9573
641	4522	9565
642	4529	9558
643	4536	9551
644	4543	9544
645	4551	9538
646	4558	9532
647	4565	9525
648	4572	9517
649	4578	9509
650	4585	9501
651	4592	9494
652	4599	9486
653	4605	9479
654	4613	9473
655	4620	9465
656	4628	9460
657	4635	9453
658	4642	9446
659	4649	9439
660	4655	9431
661	4663	9424
662	4669	9416
663	4676	9409
664	4683	9402
665	4690	9395
666	4698	9389
667	4704	9380
668	4711	9373
669	4718	9366
670	4725	9358
671	4733	9353
672	4739	9345
673	4746	9338
674	4753	9330
675	4760	9323
676	4767	9316
677	4773	9308
678	4780	9300
679	4787	9293
680	4794	9285
681	4801	9278
682	4807	9270
683	4815	9265
684	4822	9257
685	4829	9250
686	4836	9243
687	4843	9236
688	4850	9228
689	4857	9223
690	4864	9215
691	4871	9207
692	4877	9199
693	4884	9192
694	4891	9184
695	4897	9176
696	4904	9168
697	4910	9159
698	4917	9151
699	4923	9144
700	4930	9135
701	4936	9128
702	4943	9119
703	4949	9111
704	4956	9104
705	4963	9097
706	4969	9089
707	4976	9081
708	4983	9074
709	4990	9067
710	4997	9059
711	5003	9050
712	5009	9043
713	5016	9035
714	5022	9027
715	5029	9018
716	5036	9011
717	5043	9004
718	5049	8996
719	5056	8989
720	5063	8982
721	5069	8974
722	5076	8966
723	5083	8958
724	5089	8950
725	5095	8941
726	5101	8933
727	5108	8925
728	5114	8917
729	5121	8909
730	5128	8902
731	5134	8894
732	5141	8886
733	5147	8878
734	5154	8870
735	5160	8862
736	5166	8854
737	5173	8846
738	5179	8838
739	5186	8830
740	5192	8822
741	5199	8814
742	5205	8807
743	5211	8798
744	5218	8790
745	5224	8781
746	5230	8774
747	5237	8766
748	5244	8758
749	5251	8752
750	5258	8746
751	5265	8738
752	5271	8730
753	5278	8722
754	5284	8714
755	5291	8707
756	5298	8699
757	5304	8691
758	5311	8684
759	5318	8677
760	5324	8668
761	5330	8659
762	5337	8652
763	5343	8644
764	5349	8636
765	5356	8629
766	5362	8621
767	5369	8613
768	5375	8605
769	5382	8598
770	5388	8589
771	5395	8581
772	5401	8573
773	5407	8565
774	5413	8557
775	5420	8549
776	5426	8541
777	5432	8533
778	5439	8525
779	5445	8517
780	5451	8509
781	5457	8500
782	5464	8493
783	5471	8486
784	5478	8480
785	5485	8472
786	5491	8464
787	5498	8456
788	5504	8448
789	5510	8440
790	5517	8432
791	5523	8424
792	5529	8416
793	5535	8408
794	5542	8400
795	5548	8391
796	5554	8384
797	5560	8376
798	5567	8368
799	5573	8359
800	5579	8351
801	5585	8343
802	5592	8335
803	5598	8327
804	5604	8319
805	5610	8311
806	5617	8303
807	5623	8296
808	5630	8288
809	5636	8280
810	5642	8272
811	5649	8264
812	5655	8256
813	5661	8248
814	5667	8240
815	5674	8233
816	5680	8225
817	5686	8216
818	5692	8209
819	5699	8201
820	5705	8193
821	5712	8185
822	5718	8178
823	5724	8170
824	5731	8162
825	5737	8154
826	5743	8146
827	5750	8138
828	5756	8131
829	5762	8123
830	5768	8115
831	5775	8107
832	5781	8099
833	5787	8091
834	5794	8084
835	5800	8076
836	5807	8068
837	5813	8061
838	5820	8053
839	5826	8045
840	5832	8037
841	5838	8030
842	5845	8022
843	5852	8015
844	5859	8008
845	5866	8001
846	5872	7994
847	5878	7986
848	5885	7978
849	5892	7971
850	5898	7963
851	5904	7956
852	5911	7948
853	5918	7941
854	5924	7934
855	5931	7926
856	5937	7919
857	5945	7913
858	5952	7906
859	5958	7898
860	5964	7890
861	5971	7882
862	5977	7875
863	5983	7867
864	5989	7859
865	5998	7854
866	6004	7846
867	6011	7839
868	6018	7832
869	6024	7825
870	6031	7818
871	6037	7810
872	6044	7802
873	6050	7795
874	6056	7787
875	6063	7779
876	6069	7771
877	6075	7764
878	6082	7756
