iter	Logloss
0	0.6149307978
1	0.54155509
2	0.4768783483
3	0.4161308587
4	0.3781658425
5	0.3386168913
6	0.3021346541
7	0.2758920312
8	0.2478728713
9	0.2274646201
10	0.2040161792
11	0.188195284
12	0.1755384164
13	0.1626144265
14	0.1492796245
15	0.1379169273
16	0.1291462632
17	0.1190381815
18	0.1124288069
19	0.1058236222
20	0.101073336
21	0.09493559843
22	0.08967809304
23	0.08580312076
24	0.08349808128
25	0.08058651601
26	0.07567835877
27	0.07322076309
28	0.07064205694
29	0.06758812747
30	0.06547709979
31	0.06369973953
32	0.06153488946
33	0.05934476573
34	0.05697511581
35	0.05509713117
36	0.05352397206
37	0.05155481251
38	0.05020710865
39	0.04800324619
40	0.04627414796
41	0.04489872106
42	0.04331184357
43	0.04189806627
44	0.04078448439
45	0.04008461372
46	0.03861823963
47	0.03775277433
48	0.03666573305
49	0.03606450905
50	0.0343581684
51	0.03363720746
52	0.03275420297
53	0.03191252166
54	0.03134223695
55	0.03030179038
56	0.02938025756
57	0.02857099103
58	0.02796760192
59	0.02689856036
60	0.02619656312
61	0.02516976474
62	0.02490135359
63	0.02394115437
64	0.02309387597
65	0.02247995087
66	0.02171461986
67	0.02082813667
68	0.02000239875
69	0.01937144066
70	0.01870483264
71	0.01832684684
72	0.01798418323
73	0.01749044655
74	0.01728314785
75	0.01673172398
76	0.0163321113
77	0.01606692355
78	0.01589814468
79	0.01542633795
80	0.01519873395
81	0.01486497768
82	0.01446051246
83	0.01405341713
84	0.01386155994
85	0.01345465914
86	0.01335871156
87	0.01305016906
88	0.01277437372
89	0.01258093173
90	0.0123257689
91	0.012134965
92	0.0119376967
93	0.01165480979
94	0.01149733112
95	0.01132922306
96	0.01116911884
97	0.01076398338
98	0.01060824338
99	0.01036893693
100	0.01018957368
101	0.01005291756
102	0.009910356805
103	0.00969882187
104	0.009541586186
105	0.009295035602
106	0.009198667585
107	0.009070651064
108	0.008940545378
109	0.008831229161
110	0.008661565022
111	0.00860335409
112	0.00850585283
113	0.00834053114
114	0.008140737494
115	0.008007451185
116	0.007863702198
117	0.007795713155
118	0.007631246893
119	0.007531159335
120	0.00747751368
121	0.007262933939
122	0.007117151898
123	0.007044156837
124	0.006890669908
125	0.006734797249
126	0.006568958903
127	0.006502605784
128	0.006452237383
129	0.006411108037
130	0.006290472519
131	0.006196446693
132	0.006040370587
133	0.005975783942
134	0.005884173201
135	0.005831816411
136	0.005724423904
137	0.005643351194
138	0.00555738841
139	0.005501760896
140	0.005421250067
141	0.005347226189
142	0.005284796548
143	0.005229433998
144	0.005167760765
145	0.005070116594
146	0.00501528018
147	0.004937744983
148	0.004871908941
149	0.004780373693
150	0.004707220061
151	0.0046206567
152	0.004537252614
153	0.004492788568
154	0.004426543386
155	0.004393785797
156	0.004350889133
157	0.004319561002
158	0.004267391154
159	0.004238602409
160	0.004192807081
161	0.004140784217
162	0.004088550113
163	0.004065058403
164	0.004030105959
165	0.00397604667
166	0.003951418979
167	0.003888964197
168	0.003823375561
169	0.003785322622
170	0.003761192134
171	0.003726964917
172	0.003677488321
173	0.003640175498
174	0.003559023291
175	0.003506961943
176	0.003477849244
177	0.003448943291
178	0.003393776182
179	0.003345127836
180	0.003304450537
181	0.003241087235
182	0.003192475056
183	0.003159182904
184	0.003111243283
185	0.003066010889
186	0.00302903761
187	0.002993974489
188	0.002963287314
189	0.002936285761
190	0.002914421407
191	0.00287411378
192	0.002840919172
193	0.002819800201
194	0.002774209372
195	0.002750630301
196	0.002703854543
197	0.002672602537
198	0.002649769481
199	0.002629127348
200	0.002583702183
201	0.002566598125
202	0.002538874785
203	0.002509045917
204	0.002478702219
205	0.002453726205
206	0.002438542137
207	0.002416821467
208	0.002390329406
209	0.002378870356
210	0.002357136483
211	0.002324180083
212	0.002297226494
213	0.002274105932
214	0.00225270114
215	0.002232126143
216	0.002217881283
217	0.002192784339
218	0.002175137853
219	0.002156859048
220	0.002133274078
221	0.002107723823
222	0.002088908208
223	0.002079313318
224	0.002061028333
225	0.002039955923
226	0.00202070048
227	0.002007108233
228	0.001989913935
229	0.001973337769
230	0.001958597251
231	0.001949325682
232	0.001936726156
233	0.00191353958
234	0.001904964236
235	0.00189064304
